"file","n_edges","total_length","mean_edge_length","median_edge_length","sd_edge_length","min_edge_length","max_edge_length","n_nodes","n_tips","n_branches","tip_fraction","branch_fraction","tip_density"
"C5_010_calculations.json",23,0.665538567832898,0.0289364594709956,0.0229934198481498,0.022041880238036,0.0112626933279744,0.103592817542735,40,37,3,0.925,0.075,55.5940734140743
"C5_011_calculations.json",80,2.18702391521264,0.027337798940158,0.0208796921518963,0.019583182738046,0.0074158075082893,0.0962548850629891,106,81,25,0.764150943396226,0.235849056603774,37.0366320352398
"C5_012_calculations.json",323,9.02384247026055,0.0279375927871843,0.0216384498982714,0.0201048184864055,0.00557100646203179,0.129224373669375,390,298,89,0.764102564102564,0.228205128205128,33.023626130676
"C5_013_calculations.json",610,14.4046445895196,0.0236141714582289,0.018025968852855,0.0165558138668905,0.0062355985278079,0.129450419678995,696,510,178,0.732758620689655,0.255747126436782,35.4052470250505
"C5_014_calculations.json",992,24.5728217696991,0.0247709896871967,0.0189506234496713,0.0169156827904524,0.00546099377403048,0.127985123384727,1026,706,306,0.688109161793372,0.298245614035088,28.7309290978773
"C5_015_calculations.json",1457,36.4295019765841,0.0250030898947043,0.0198563707157174,0.0173734730482292,0.00510361538519503,0.190287710584192,1455,991,445,0.681099656357388,0.305841924398625,27.203226677021
"C5_016_calculations.json",1446,35.5534718444003,0.0245874632395576,0.0183681909470155,0.0171311469053408,0.00516950684301703,0.154487491391845,1525,1060,438,0.695081967213115,0.287213114754098,29.8142472453629
"C5_017_calculations.json",1272,30.6023817540586,0.0240584762217442,0.0185523488392689,0.0159093075469756,0.00529165314433969,0.161831392989736,1388,978,397,0.704610951008646,0.286023054755043,31.9582968364968
"C5_018_calculations.json",965,23.6213278115045,0.0244780599082949,0.0185826803771684,0.0193181310024825,0.00742410910480173,0.297208077306853,1107,797,295,0.71996386630533,0.266485998193315,33.7406942725645
"C5_019_calculations.json",846,20.888897658646,0.0246913683908345,0.0191084727533733,0.0171304886811793,0.00513783894259057,0.159991090868782,994,736,245,0.740442655935614,0.246478873239437,35.2340277609319
"C5_020_calculations.json",763,17.3727623605547,0.0227690201317885,0.0183306084653179,0.013273665717345,0.00687166500929714,0.0987375678625752,846,615,217,0.726950354609929,0.256501182033097,35.4002424736077
"G12_004_calculations.json",4,0.102752406990565,0.0256881017476412,0.0236192912722538,0.0149420743661395,0.010368234613472,0.0451455898325851,8,8,0,1,0,77.857056922614
"G12_005_calculations.json",20,0.743711001267324,0.0371855500633662,0.0275541121755758,0.0248828109330378,0.0107824891838573,0.0861477729566371,33,30,3,0.909090909090909,0.0909090909090909,40.3382496008239
"G12_006_calculations.json",153,4.48024180725022,0.0292826261911779,0.0204746071064863,0.0219447695195631,0.0100091599048072,0.114967841538723,205,166,38,0.809756097560976,0.185365853658537,37.0515715761966
"G12_007_calculations.json",467,13.4919503553121,0.028890685985679,0.0208442755419946,0.0210710506697964,0.00529485080054191,0.1389913615271,594,450,131,0.757575757575758,0.220538720538721,33.3532208575631
"G12_008_calculations.json",911,22.0811348557908,0.0242383478109668,0.0185257729095534,0.016829116429646,0.00573384338816472,0.137727157089612,971,672,280,0.692070030895984,0.288362512873326,30.433218418743
"G12_009_calculations.json",1350,31.4605064069773,0.0233040788199832,0.0186760963622919,0.0149543056304269,0.00528796747342495,0.129650281229871,1378,930,421,0.67489114658926,0.305515239477504,29.5608719061733
"G12_010_calculations.json",1461,33.7287471541471,0.0230860692362403,0.0187265470655964,0.0145338383302588,0.00534694987820169,0.157493802946344,1503,1030,440,0.685296074517631,0.292747837658017,30.537748564828
"G12_011_calculations.json",1555,34.1582229377111,0.0219667028538335,0.0175241036860662,0.0127845165284074,0.00507054089816857,0.125636722578959,1607,1100,475,0.684505289359054,0.295581829495955,32.2030804121717
"G12_012_calculations.json",1650,35.6553329087858,0.0216092926719914,0.0170862564723446,0.0133911266125722,0.00535679129703599,0.132091327557467,1664,1115,521,0.670072115384615,0.313100961538462,31.2716193914783
"G12_013_calculations.json",1613,34.8383709210175,0.0215984940613871,0.0176268164334111,0.0123748356997984,0.00579466875671077,0.11161091440097,1659,1139,484,0.686558167570826,0.291742013261001,32.6938364191093
"G12_014_calculations.json",1658,34.6349379726588,0.020889588644547,0.0170551969721063,0.0114633804099903,0.00528860595998606,0.119886456868426,1714,1150,522,0.670945157526254,0.304550758459743,33.2034664219067
"G12_015_calculations.json",1507,32.8085779440043,0.0217707882840109,0.0180388946758459,0.0120043172546813,0.00503766930236591,0.103440589578125,1600,1112,457,0.695,0.285625,33.8935750856954
"G12_016_calculations.json",1637,35.2576656488857,0.0215379753505716,0.0173354955221937,0.0120332456487964,0.00552177598241727,0.106642838493183,1666,1150,478,0.690276110444178,0.286914765906363,32.617020407769
"G12_017_calculations.json",1574,33.3321993330679,0.021176746717324,0.0172629626364206,0.0119370251182787,0.00587331873815816,0.145964691106226,1630,1110,480,0.680981595092024,0.294478527607362,33.3011329048066
"G12_018_calculations.json",1519,32.7329259111129,0.0215489966498439,0.0175263448517872,0.0123499775817091,0.00511339662064265,0.113819800266648,1573,1099,434,0.698664971392244,0.275905912269549,33.5747559807016
"G12_019_calculations.json",1350,29.0774681351464,0.0215388652852936,0.0172384513806138,0.0122655459659078,0.00517449756015019,0.102780595561788,1390,960,399,0.690647482014389,0.28705035971223,33.0152541321035
"G12_020_calculations.json",1413,29.9585492467954,0.0212020872234929,0.0171248999121163,0.0121687524893447,0.00503282038225089,0.106575880238723,1425,960,434,0.673684210526316,0.304561403508772,32.0442753115854
"H6_008_calculations.json",2,0.0451019938191568,0.0225509969095784,0.0225509969095784,0.0163272229790372,0.0110059068231564,0.0340960869960004,4,4,0,1,0,88.6878752198539
"H6_009_calculations.json",4,0.337760502445062,0.0844401256112656,0.0978641168481489,0.0479907852385441,0.0161620408569012,0.125870227891863,8,8,0,1,0,23.6854218953598
"H6_010_calculations.json",27,1.34403719500744,0.0497791553706459,0.0331440254407241,0.036082358209021,0.0113506407308134,0.118962909040982,43,38,5,0.883720930232558,0.116279069767442,28.2730270718361
"H6_011_calculations.json",70,2.98035488863295,0.0425764984090421,0.027169086830352,0.0345357092688891,0.0100507831504487,0.142506373853125,108,93,14,0.861111111111111,0.12962962962963,31.2043375621814
"H6_012_calculations.json",184,5.81706119930951,0.0316144630397256,0.0216154828228828,0.0289211745247784,0.00534592517717934,0.197994787440799,218,153,63,0.701834862385321,0.288990825688073,26.30194092133
"H6_013_calculations.json",332,9.49934198728978,0.0286124758653307,0.0192763665306498,0.0241209280913858,0.0066826600242718,0.185736797507525,391,289,95,0.739130434782609,0.242966751918159,30.4231598764088
"H6_014_calculations.json",525,15.163731555474,0.0288832982009028,0.0216533746055976,0.0237011297985916,0.00918392318129893,0.229254192320763,575,399,165,0.693913043478261,0.28695652173913,26.3127844581214
"H6_015_calculations.json",823,22.379872683621,0.0271930409278506,0.0195928303212365,0.0217885375889358,0.00728419721040005,0.199271892387999,841,549,271,0.652794292508918,0.322235434007134,24.530970652116
"H6_016_calculations.json",857,23.8967501013679,0.0278841891497875,0.0206009562156711,0.0215890426041051,0.00576594216065339,0.130018310539111,910,622,278,0.683516483516484,0.305494505494506,26.0286439520659
"H6_017_calculations.json",836,23.3472873621817,0.02792737722749,0.020493773080745,0.021632251468067,0.0062391776701742,0.20935875923071,913,640,259,0.700985761226725,0.28368017524644,27.412178128954
"H6_018_calculations.json",747,20.114663369142,0.0269272601996546,0.0200191880454728,0.0197196835126806,0.00584211819462772,0.171267278541618,847,593,244,0.700118063754427,0.288075560802834,29.4809805720997
"H6_019_calculations.json",604,16.2671485479947,0.0269323651456865,0.0200118750152627,0.0210372175911195,0.00528990330724484,0.16630503292742,709,507,185,0.71509167842031,0.260930888575458,31.1671094970422
"H6_020_calculations.json",403,12.1015710477068,0.030028712277188,0.0219871656009025,0.0265281142445796,0.00510731103419402,0.285021435891392,524,408,104,0.778625954198473,0.198473282442748,33.7146308021978
